source,target,relation
ORG001,MOD001,develops
ORG002,MOD002,develops
ORG003,MOD003,develops

ORG001,FW001,publishes
ORG002,FW002,publishes
ORG003,FW003,publishes

FW001,RISK001,addresses
FW001,RISK002,addresses
FW001,RISK003,addresses

FW002,RISK001,addresses
FW002,RISK002,addresses

FW003,RISK002,addresses

MOD001,BEN001,evaluated_by
MOD002,BEN001,evaluated_by
MOD003,BEN003,evaluated_by

REG001,FW001,references
REG002,FW002,references
REG003,FW003,references
ORG001,FW001,published
ORG001,FW004,published
ORG002,FW006,published
ORG003,FW007,published

FW001,RISK001,addresses
FW001,RISK002,addresses
FW001,RISK003,addresses
FW006,RISK005,addresses
FW007,RISK002,addresses

MOD001,BEN001,evaluated_by
MOD002,BEN004,evaluated_by
MOD003,BEN007,evaluated_by
MOD004,BEN008,evaluated_by
MOD005,BEN006,evaluated_by

REG002,FW005,influences
REG001,FW006,influences
REG005,FW007,influences
