type,description
Organization,AI developers and research institutions
Frontier Model,Frontier foundation models
Governance Framework,Governance and safety framework
Evaluation,Formal evaluation procedure
Benchmark,Evaluation benchmark
Capability,AI capability being measured
Risk Domain,Risk category
Safety Measure,Risk mitigation mechanism
Deployment Control,Deployment gating mechanism
Regulation,Regulatory instrument
Publication,Primary source document
Incident,AI safety incident
Standard,Technical standard
Dataset,Supporting dataset
