id,label,type,in_degree,out_degree,degree_centrality,betweenness,pagerank
RISK002,Cyber Risk,Risk Domain,5,0,0.10638297872340426,0.0,0.08775826247015597
BEN001,SWE-Bench,Benchmark,3,0,0.06382978723404255,0.0,0.03846769780002508
RISK005,Loss of Control,Risk Domain,1,0,0.02127659574468085,0.0,0.036616725834689154
RISK001,Biological Risk,Risk Domain,3,0,0.06382978723404255,0.0,0.033602187102321227
FW007,Google Frontier Safety Framework,Governance Framework,2,1,0.06382978723404255,0.0006938020351526365,0.03185683695177323
FW003,Frontier Safety Framework,Governance Framework,2,1,0.06382978723404255,0.0006938020351526365,0.03185683695177323
FW001,Responsible Scaling Policy,Governance Framework,3,6,0.19148936170212766,0.002775208140610546,0.027625920544979338
BEN006,FrontierMath,Benchmark,1,0,0.02127659574468085,0.0,0.027625920544979338
BEN008,MMLU-Pro,Benchmark,1,0,0.02127659574468085,0.0,0.027625920544979338
FW002,Preparedness Framework,Governance Framework,2,2,0.0851063829787234,0.0018501387604070306,0.025510462341582392
FW006,OpenAI Preparedness Framework,Governance Framework,2,1,0.06382978723404255,0.0009250693802035153,0.025510462341582392
BEN004,ARC-AGI,Benchmark,1,0,0.02127659574468085,0.0,0.02307770699273046
BEN003,Humanity's Last Exam,Benchmark,1,0,0.02127659574468085,0.0,0.02307770699273046
BEN007,GPQA,Benchmark,1,0,0.02127659574468085,0.0,0.02307770699273046
RISK003,Autonomous AI R&D,Risk Domain,2,0,0.0425531914893617,0.0,0.022760409847275478
FW005,NIST AI RMF Generative AI Profile,Governance Framework,1,0,0.02127659574468085,0.0,0.021279545934788497
MOD003,Gemini 2.5 Pro,Frontier Model,1,2,0.06382978723404255,0.0009250693802035153,0.01916408773139155
MOD002,GPT-5,Frontier Model,1,2,0.06382978723404255,0.0009250693802035153,0.01916408773139155
FW004,Anthropic Constitutional AI,Governance Framework,1,0,0.02127659574468085,0.0,0.018106358629693082
MOD001,Claude Opus 4,Frontier Model,1,2,0.06382978723404255,0.00046253469010175765,0.018106358629693082
ORG003,Google DeepMind,Organization,0,3,0.06382978723404255,0.0,0.014933171324597663
BEN002,CyberSecEval,Benchmark,0,0,0.0,0.0,0.014933171324597663
ORG001,Anthropic,Organization,0,4,0.0851063829787234,0.0,0.014933171324597663
ORG002,OpenAI,Organization,0,3,0.06382978723404255,0.0,0.014933171324597663
REG001,EU AI Act,Regulation,0,2,0.0425531914893617,0.0,0.014933171324597663
ORG009,OpenAI Safety,Organization,0,0,0.0,0.0,0.014933171324597663
ORG007,RAND,Organization,0,0,0.0,0.0,0.014933171324597663
ORG008,Apollo Research,Organization,0,0,0.0,0.0,0.014933171324597663
REG002,NIST AI RMF,Regulation,0,2,0.0425531914893617,0.0,0.014933171324597663
REG003,UK AI Security Institute Guidance,Regulation,0,1,0.02127659574468085,0.0,0.014933171324597663
ORG004,METR,Organization,0,0,0.0,0.0,0.014933171324597663
ORG005,UK AI Security Institute,Organization,0,0,0.0,0.0,0.014933171324597663
MOD007,OpenAI o3,Frontier Model,0,0,0.0,0.0,0.014933171324597663
MOD006,Grok 4,Frontier Model,0,0,0.0,0.0,0.014933171324597663
MOD005,DeepSeek R1,Frontier Model,0,1,0.02127659574468085,0.0,0.014933171324597663
MOD004,Gemini 2.5 Flash,Frontier Model,0,1,0.02127659574468085,0.0,0.014933171324597663
ORG006,Epoch AI,Organization,0,0,0.0,0.0,0.014933171324597663
RISK006,CBRN Risk,Risk Domain,0,0,0.0,0.0,0.014933171324597663
RISK004,Deception,Risk Domain,0,0,0.0,0.0,0.014933171324597663
MOD008,GPT-4.1,Frontier Model,0,0,0.0,0.0,0.014933171324597663
BEN005,ARC-AGI-2,Benchmark,0,0,0.0,0.0,0.014933171324597663
RISK008,Model Autonomy,Risk Domain,0,0,0.0,0.0,0.014933171324597663
RISK007,Persuasion,Risk Domain,0,0,0.0,0.0,0.014933171324597663
BEN009,MMLU,Benchmark,0,0,0.0,0.0,0.014933171324597663
BEN010,HELM,Benchmark,0,0,0.0,0.0,0.014933171324597663
REG004,ISO/IEC 42001,Regulation,0,0,0.0,0.0,0.014933171324597663
REG005,OECD AI Principles,Regulation,0,1,0.02127659574468085,0.0,0.014933171324597663
REG006,Executive Order 14110,Regulation,0,0,0.0,0.0,0.014933171324597663
